geo,TIME_PERIOD,OBS_VALUE,pred_cost
EE,2009,-8.3,-0.877000000000001
EE,2010,-2.7,2.88
EE,2011,3.4,3.3590000000000004
EE,2012,4.5,4.643999999999994
EE,2013,4.9,1.5539999999999992
EE,2014,0.3,0.840166666666666
EE,2015,0.8,0.44566666666666677
EE,2016,-0.5,1.0149999999999988
EE,2017,1.3,3.359
EE,2018,1.8,2.8496461538461535
EE,2019,1.9,1.1766923076923066
EE,2020,0.4,0.796347222222222
EE,2021,9.4,-2.806000000000002
EE,2022,18.2,26.36099999999999
EE,2023,5.2,3.0239999999999987
EL,2002,2.5,2.5812428571428567
EL,2003,2.8,2.9699999999999993
EL,2004,3.1,3.2999999999999985
EL,2005,3.4,4.038000000000006
EL,2006,4.3,4.293000000000003
EL,2007,4.6,4.505999999999998
EL,2008,5.2,1.625999999999997
EL,2009,-0.4,1.3120000000000014
EL,2010,1.9,1.57
EL,2011,1.0,0.6679999999999997
EL,2012,-0.1,-0.5719999999999995
EL,2013,-1.3,-0.9800000000000001
EL,2014,-3.0,-0.8299999999999987
EL,2015,-2.3,0.7209999999999991
EL,2016,-1.7,0.2549999999999996
EL,2017,0.2,0.1410000000000001
EL,2018,0.5,0.9259999999999998
EL,2019,0.2,-0.18800000000000006
EL,2020,0.1,-0.020149999999999956
EL,2021,3.2,2.8560000000000003
EL,2022,8.8,7.103000000000003
EL,2023,6.3,4.525000000000004
ES,1982,13.0,10.181999999999999
ES,1983,11.5,9.104999999999988
ES,1984,10.3,6.52599999999999
ES,1985,8.4,5.467000000000006
ES,1986,6.1,3.7459999999999996
ES,1987,3.5,3.2719999999999954
ES,1988,4.2,4.367000000000004
ES,1989,5.8,5.151999999999998
ES,1990,5.5,3.9820000000000033
ES,1991,4.3,3.9330000000000043
ES,1992,4.1,3.537000000000001
ES,1993,3.5,3.096000000000001
ES,1994,3.4,4.462321428571423
ES,1995,4.9,3.289000000000004
ES,1996,2.8,2.1239999999999988
ES,1997,2.0,1.9558730158730178
ES,1998,1.8,1.8748435897435873
ES,1999,1.6,3.371000000000004
ES,2000,4.3,3.712000000000003
ES,2001,2.8,2.149999999999998
ES,2002,1.6,2.03142857142857
ES,2003,2.2,4.223000000000004
ES,2004,4.8,4.258
ES,2005,4.5,5.470999999999995
ES,2006,6.9,4.9620000000000015
ES,2007,5.0,4.427999999999995
ES,2008,4.7,2.255999999999998
ES,2009,1.1,2.6340000000000017
ES,2010,2.5,3.2650000000000023
ES,2011,3.8,0.9397999999999989
ES,2012,-0.2,0.19199999999999984
ES,2013,0.2,0.30426457431457404
ES,2014,0.2,-0.6239999999999992
ES,2015,-1.4,-0.25999999999999984
ES,2016,-1.2,1.4470000000000005
ES,2017,2.2,2.9139999999999975
ES,2018,2.4,2.3670000000000013
ES,2019,1.0,-0.05799999999999999
ES,2020,-0.8,0.4709999999999998
ES,2021,8.5,3.8589999999999987
ES,2022,12.3,25.72
ES,2023,2.4,1.821999999999999
FI,1997,2.5,2.5812428571428567
FI,1998,2.3,1.7609000000000026
FI,1999,1.4,2.8259999999999996
FI,2000,3.1,2.6000000000000028
FI,2001,2.4,1.61
FI,2002,0.7,0.9497619047619058
FI,2003,1.9,2.152423459383757
FI,2004,2.4,3.043999999999999
FI,2005,3.4,3.288000000000005
FI,2006,3.8,5.068999999999992
FI,2007,5.9,4.928000000000001
FI,2008,4.0,0.4859999999999994
FI,2009,-1.1,0.9189999999999999
FI,2010,1.1,2.977000000000004
FI,2011,3.3,2.4950000000000028
FI,2012,2.4,1.4450000000000016
FI,2013,0.9,1.0123
FI,2014,1.0,0.7119999999999997
FI,2015,0.6,0.6640000000000004
FI,2016,0.5,0.49633333333333385
FI,2017,0.2,-0.6549999999999992
FI,2018,2.3,2.1769999999999987
FI,2019,1.1,4.798000000000006
FI,2020,-0.3,0.17300000000000007
FI,2021,5.5,3.7960000000000007
FI,2022,8.2,7.5290000000000035
FI,2023,3.0,1.6569999999999987
FR,2001,1.6,2.0
FR,2001,2.0,1.9000000000000035
FR,2002,1.9,1.9110000000000034
FR,2002,1.9,1.9000000000000035
FR,2002,1.9,1.6999999999999986
FR,2003,1.7,1.8484271747859982
FR,2003,1.7,1.8484271747859982
FR,2003,2.0,3.0
FR,2004,3.0,3.0
FR,2004,3.0,3.1909999999999945
FR,2004,3.2,2.5
FR,2005,2.5,2.559498009416064
FR,2005,2.5,2.559498009416064
FR,2005,2.5,3.0
FR,2006,3.0,3.0
FR,2006,3.0,3.300000000000006
FR,2006,3.3,4.0
FR,2007,4.0,3.998
FR,2007,4.0,4.199999999999992
FR,2007,4.2,3.699999999999993
FR,2008,3.7,3.851758153729319
FR,2008,3.7,3.851758153729319
FR,2008,4.0,0.39999999999999925
FR,2009,0.4,0.39999999999999925
FR,2009,0.4,0.7882121089694621
FR,2009,0.4,1.9000000000000035
FR,2010,1.9,1.9000000000000035
FR,2010,1.9,1.8000000000000016
FR,2010,1.8,3.1000000000000005
FR,2011,3.1,3.101000000000001
FR,2011,3.1,3.3080000000000056
FR,2011,3.3,1.9000000000000035
FR,2012,1.9,1.9481116877403641
FR,2012,1.9,1.9481116877403641
FR,2012,2.0,0.7000000000000013
FR,2013,0.7,0.7000000000000013
FR,2013,0.7,0.6854066267066269
FR,2013,0.7,0.5990000000000009
FR,2014,0.6,0.6474101173250554
FR,2014,0.6,0.6474101173250554
FR,2014,0.7,0.9000000000000008
FR,2015,0.9,0.9000000000000008
FR,2015,0.9,0.8849566877566876
FR,2015,0.9,0.7999999999999985
FR,2016,0.8,0.9538838544582355
FR,2016,0.8,0.9538838544582355
FR,2016,1.1,2.5
FR,2017,2.5,2.471
FR,2017,2.5,2.2689999999999997
FR,2017,2.6,2.0329642857142853
FR,2018,2.9,3.82
FR,2018,2.9,3.5412500000000016
FR,2018,2.9,2.1392500000000005
FR,2019,1.8,1.8145218525755278
FR,2019,1.8,1.8145218525755278
FR,2019,2.0,1.6562999999999997
FR,2020,1.4,2.2688000000000006
FR,2020,1.4,2.2688000000000006
FR,2020,1.4,3.102163636363639
FR,2021,6.3,3.358000000000002
FR,2021,6.3,2.7710000000000026
FR,2021,6.5,2.8280000000000016
FR,2022,12.1,6.496000000000004
FR,2022,12.1,6.757000000000005
FR,2022,12.4,8.369000000000002
FR,2023,3.3,2.349999999999998
FR,2023,3.3,2.462999999999998
GR,2001,1.6,2.0
GR,2001,2.0,1.9000000000000035
GR,2002,1.9,1.9110000000000034
GR,2002,1.9,1.9000000000000035
GR,2002,1.9,1.6999999999999986
GR,2003,1.7,1.8484271747859982
GR,2003,1.7,1.8484271747859982
GR,2003,2.0,3.0
GR,2004,3.0,3.0
GR,2004,3.0,3.1909999999999945
GR,2004,3.2,2.5
GR,2005,2.5,2.559498009416064
GR,2005,2.5,2.559498009416064
GR,2005,2.5,3.0
GR,2006,3.0,3.0
GR,2006,3.0,3.300000000000006
GR,2006,3.3,4.0
GR,2007,4.0,3.998
GR,2007,4.0,4.199999999999992
GR,2007,4.2,3.699999999999993
GR,2008,3.7,3.851758153729319
GR,2008,3.7,3.851758153729319
GR,2008,4.0,0.39999999999999925
GR,2009,0.4,0.39999999999999925
GR,2009,0.4,0.7882121089694621
GR,2009,0.4,1.9000000000000035
GR,2010,1.9,1.9000000000000035
GR,2010,1.9,1.8000000000000016
GR,2010,1.8,3.1000000000000005
GR,2011,3.1,3.101000000000001
GR,2011,3.1,3.3080000000000056
GR,2011,3.3,1.9000000000000035
GR,2012,1.9,1.9481116877403641
GR,2012,1.9,1.9481116877403641
GR,2012,2.0,0.7000000000000013
GR,2013,0.7,0.7000000000000013
GR,2013,0.7,0.6854066267066269
GR,2013,0.7,0.5990000000000009
GR,2014,0.6,0.6474101173250554
GR,2014,0.6,0.6474101173250554
GR,2014,0.7,0.9000000000000008
GR,2015,0.9,0.9000000000000008
GR,2015,0.9,0.8849566877566876
GR,2015,0.9,0.7999999999999985
GR,2016,0.8,0.9538838544582355
GR,2016,0.8,0.9538838544582355
GR,2016,1.1,2.5
GR,2017,2.5,2.471
GR,2017,2.5,2.2689999999999997
GR,2017,2.6,2.0329642857142853
GR,2018,2.9,3.82
GR,2018,2.9,3.5412500000000016
GR,2018,2.9,2.1392500000000005
GR,2019,1.8,1.8145218525755278
GR,2019,1.8,1.8145218525755278
GR,2019,2.0,1.6562999999999997
GR,2020,1.4,2.2688000000000006
GR,2020,1.4,2.2688000000000006
GR,2020,1.4,3.102163636363639
GR,2021,6.3,3.358000000000002
GR,2021,6.3,2.7710000000000026
GR,2021,6.5,2.8280000000000016
GR,2022,12.1,6.496000000000004
GR,2022,12.1,6.757000000000005
GR,2022,12.4,8.369000000000002
GR,2023,3.3,2.349999999999998
GR,2023,3.3,2.462999999999998
HR,2001,2.0,2.415164285714288
HR,2002,1.9,1.8268380952380965
HR,2002,1.9,1.8268380952380965
HR,2003,1.7,1.9433964785214781
HR,2003,2.0,3.0
HR,2004,3.0,3.1619999999999964
HR,2004,3.2,2.462
HR,2005,2.5,2.5788441558441555
HR,2005,2.5,2.559498009416064
HR,2006,3.0,3.167333333333337
HR,2006,3.3,3.9249999999999994
HR,2007,4.0,3.5349999999999953
HR,2007,4.2,3.7329999999999957
HR,2008,3.7,4.0735094574285355
HR,2008,4.0,1.9233365384615413
HR,2009,0.4,0.39999999999999925
HR,2009,0.4,0.7882121089694621
HR,2010,1.9,1.916590126050423
HR,2010,1.8,2.8325333333333327
HR,2011,3.1,3.3230000000000053
HR,2011,3.3,2.515000000000003
HR,2012,1.9,2.2687476190476192
HR,2012,2.0,1.1515597147950103
HR,2013,0.7,0.7810000000000009
HR,2013,0.7,0.6854066267066269
HR,2014,0.6,0.8315305555555562
HR,2014,0.7,0.9000000000000008
HR,2015,0.9,0.8970000000000007
HR,2015,0.9,0.8849566877566876
HR,2016,0.8,1.026924634679045
HR,2016,1.1,2.5
HR,2017,2.5,2.471
HR,2017,2.6,2.3420000000000005
HR,2018,2.9,2.9730000000000008
HR,2018,2.9,3.5412500000000016
HR,2019,1.8,2.0014496692033443
HR,2019,2.0,1.9415294117647048
HR,2020,1.4,3.050000000000003
HR,2020,1.4,2.2688000000000006
HR,2021,6.3,3.1350000000000016
HR,2021,6.5,2.8210000000000015
HR,2022,12.1,22.109999999999985
HR,2022,12.4,6.027000000000003
HR,2023,3.3,1.5779999999999985
HU,2001,11.1,6.509000000000001
HU,2002,6.0,3.7339999999999987
HU,2003,4.0,5.134999999999992
HU,2004,5.7,3.910999999999995
HU,2005,3.4,4.551999999999995
HU,2006,5.9,6.304000000000006
HU,2007,7.6,6.027
HU,2008,7.5,3.3000000000000016
HU,2009,3.1,0.7459999999999996
HU,2010,-0.4,0.6690000000000008
HU,2011,0.6,3.4599999999999973
HU,2012,4.7,4.540999999999996
HU,2013,4.7,2.7830000000000026
HU,2014,2.4,2.902999999999999
HU,2015,3.5,1.7260000000000004
HU,2016,1.5,4.888000000000003
HU,2017,7.0,4.729999999999997
HU,2018,5.3,3.7409999999999983
HU,2019,9.9,-1.2249999999999988
HU,2020,10.9,4.480000000000003
HU,2021,15.7,9.77200000000001
HU,2022,12.4,7.409000000000001
IE,2001,1.6,2.0
IE,2001,2.0,1.9000000000000035
IE,2002,1.9,1.9110000000000034
IE,2002,1.9,1.9000000000000035
IE,2002,1.9,1.6999999999999986
IE,2003,1.7,1.8484271747859982
IE,2003,1.7,1.8484271747859982
IE,2003,2.0,3.0
IE,2004,3.0,3.0
IE,2004,3.0,3.1909999999999945
IE,2004,3.2,2.5
IE,2005,2.5,2.559498009416064
IE,2005,2.5,2.559498009416064
IE,2005,2.5,3.0
IE,2006,3.0,3.0
IE,2006,3.0,3.300000000000006
IE,2006,3.3,4.0
IE,2007,4.0,3.998
IE,2007,4.0,4.199999999999992
IE,2007,4.2,3.699999999999993
IE,2008,3.7,3.851758153729319
IE,2008,3.7,3.851758153729319
IE,2008,4.0,0.39999999999999925
IE,2009,0.4,0.39999999999999925
IE,2009,0.4,0.7882121089694621
IE,2009,0.4,1.9000000000000035
IE,2010,1.9,1.9000000000000035
IE,2010,1.9,1.8000000000000016
IE,2010,1.8,3.1000000000000005
IE,2011,3.1,3.101000000000001
IE,2011,3.1,3.3080000000000056
IE,2011,3.3,1.9000000000000035
IE,2012,1.9,1.9481116877403641
IE,2012,1.9,1.9481116877403641
