DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2008,88.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2009,88.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2010,91.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2011,93.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2012,95.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2013,97.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2014,98.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2015,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2016,100.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2017,104.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2018,107.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2019,108.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2020,109.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2021,120.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2022,132.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,AT,2023,134.4,p,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2003,64.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2004,66.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2005,71.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2006,76.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2007,81.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2008,91.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2009,97.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2010,96.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2011,97.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2012,96.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2013,98.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2014,98.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2015,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2016,100.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2017,103.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2018,106.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2019,112.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2020,115.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2021,128.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2022,196.4,p,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,BG,2023,228.2,p,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,1998,61.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,1999,61.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2000,65.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2001,67.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2002,70.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2003,73.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2004,79.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2005,82.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2006,86.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2007,91.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2008,98.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2009,99.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2010,102.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2011,106.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2012,107.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2013,102.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2014,100.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2015,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2016,99.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2017,99.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2018,100.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2019,102.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2020,103.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2021,109.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CY,2022,120.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2000,71.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2001,73.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2002,75.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2003,77.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2004,83.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2005,86.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2006,88.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2007,92.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2008,96.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2009,95.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2010,97.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2011,98.7,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2012,99.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2013,98.8,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2014,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2015,100.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2016,100.3,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2017,103.0,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2018,107.2,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2019,113.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2020,115.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2021,125.1,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,CZ,2022,150.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2000,76.4,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2001,76.9,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2002,77.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2003,78.5,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2004,80.6,,
ESTAT:STS_COPI_A(1.0),26/04/25 11:00:00,A,COST,CPA_F41001_X_410014,NSA,I15,DE,2005,81.8,,
