geo,TIME_PERIOD,OBS_VALUE,label_variation,prob_aumento,prob_diminuzione,prob_stabile
MT,2022,119.1,diminuzione,0.0,0.99,0.01
MT,2022,19.1,diminuzione,0.0,1.0,0.0
MT,2023,118.8,aumento,0.99,0.0,0.01
MT,2023,-0.3,diminuzione,0.0,1.0,0.0
MT,2024,119.7,diminuzione,0.0,0.99,0.01
NL,2022,127.5,aumento,1.0,0.0,0.0
NL,2022,109.1,diminuzione,0.0,1.0,0.0
NL,2022,9.1,diminuzione,0.0,1.0,0.0
NL,2023,134.2,aumento,1.0,0.0,0.0
NL,2023,115.4,diminuzione,0.0,0.99,0.01
NL,2023,5.8,diminuzione,0.0,1.0,0.0
NL,2024,118.7,aumento,0.99,0.01,0.0
NO,2022,135.2,aumento,1.0,0.0,0.0
NO,2022,108.8,diminuzione,0.0,0.99,0.01
NO,2022,8.8,diminuzione,0.0,1.0,0.0
NO,2023,141.1,aumento,1.0,0.0,0.0
NO,2023,113.6,diminuzione,0.0,0.99,0.01
NO,2023,4.4,diminuzione,0.0,1.0,0.0
NO,2024,117.8,aumento,0.99,0.01,0.0
PT,2022,131.5,aumento,1.0,0.0,0.0
PT,2022,112.2,diminuzione,0.0,0.99,0.01
PT,2022,12.2,diminuzione,0.0,1.0,0.0
PT,2023,136.6,aumento,1.0,0.0,0.0
PT,2023,116.5,diminuzione,0.0,0.99,0.01
PT,2023,3.8,diminuzione,0.0,1.0,0.0
PT,2024,120.4,aumento,0.98,0.02,0.0
RO,2022,180.0,aumento,1.0,0.0,0.0
RO,2022,119.0,diminuzione,0.01,0.98,0.01
RO,2022,19.0,diminuzione,0.0,1.0,0.0
RO,2023,209.3,aumento,1.0,0.0,0.0
RO,2023,128.6,diminuzione,0.01,0.98,0.01
RO,2023,8.1,diminuzione,0.0,1.0,0.0
RO,2024,141.2,aumento,1.0,0.0,0.0
RS,2022,115.6,aumento,0.99,0.0,0.01
RS,2022,15.6,diminuzione,0.0,1.0,0.0
RS,2023,125.3,aumento,1.0,0.0,0.0
RS,2023,8.4,diminuzione,0.0,1.0,0.0
RS,2024,134.7,aumento,1.0,0.0,0.0
SE,2022,133.5,aumento,1.0,0.0,0.0
SE,2022,112.3,diminuzione,0.0,0.99,0.01
SE,2022,12.3,diminuzione,0.0,1.0,0.0
SE,2023,139.1,aumento,1.0,0.0,0.0
SE,2023,117.0,diminuzione,0.0,0.99,0.01
SE,2023,4.2,diminuzione,0.0,1.0,0.0
SE,2024,118.8,aumento,0.98,0.02,0.0
SI,2022,140.6,aumento,1.0,0.0,0.0
SI,2022,114.4,diminuzione,0.0,0.99,0.01
SI,2022,14.4,diminuzione,0.0,1.0,0.0
SI,2023,122.8,aumento,1.0,0.0,0.0
SI,2023,7.3,diminuzione,0.0,1.0,0.0
SI,2024,127.3,aumento,0.99,0.01,0.0
TR,2022,603.3,aumento,1.0,0.0,0.0
TR,2022,199.7,diminuzione,0.01,0.98,0.01
TR,2022,99.7,diminuzione,0.0,0.97,0.03
TR,2023,327.5,aumento,1.0,0.0,0.0
TR,2023,64.0,diminuzione,0.0,1.0,0.0
TR,2024,500.3,aumento,1.0,0.0,0.0
UA,2022,127.8,aumento,0.92,0.05,0.03
UA,2022,27.8,diminuzione,0.0,1.0,0.0
UA,2023,148.6,aumento,1.0,0.0,0.0
UA,2023,16.3,diminuzione,0.0,1.0,0.0
UA,2024,161.5,aumento,1.0,0.0,0.0
