,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,cluster
14,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.3,11.1,6.0,4.0,5.7,3.4,5.9,7.6,7.5,3.1,-0.4,0.6,4.7,4.7,2.4,3.5,1.5,7.0,5.3,9.9,10.9,15.7,6.0,6.0,6.0,1
15,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,8.1,4.9,2.9,3.5,2.0,1.7,2.6,-1.4,1.6,3.0,2.3,3.9,3.0,4.1,4.0,2.8,3.7,3.8,0.9,1.5,3.0,2.3,0.7,-0.1,0.4,0.3,0.5,1.4,0.5,0.5,4.0,11.9,2.1,2.6,0
16,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,1.6,0.6,-1.0,0.2,1.2,7.1,8.3,10.7,16.1,9.6,-14.6,-4.8,3.9,3.0,4.6,3.2,2.2,2.1,4.2,3.5,4.9,2.0,6.6,18.0,7.2,5.0,0
17,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,-2.2,1.3,6.3,8.8,11.9,36.5,22.5,8.7,-7.8,-7.4,2.5,3.2,4.0,0.7,3.4,5.7,2.4,4.5,4.8,7.3,6.8,13.3,4.7,5.6,1
18,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,4.1,9.1,2.4,4.7,5.9,-2.3,5.2,1.7,1.9,-0.4,-1.6,-2.4,5.0,6.0,2.6,1.1,13.1,23.7,9.4,-7.2,0
19,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,6.4,4.9,2.3,0.5,1.4,1.3,10.4,2.4,1.6,-2.4,1.4,2.3,1.5,2.5,1.1,2.3,1.6,1.2,1.0,0.3,12.5,19.1,-0.3,0.8,0
20,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,4.2,3.0,1.3,0.7,1.4,3.1,4.1,4.6,0.3,0.4,1.9,2.3,0.2,0.8,1.4,1.6,2.1,2.6,2.9,2.1,4.5,9.1,5.8,2.9,0
21,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,4.7,3.3,3.2,2.9,3.5,3.8,7.3,5.7,2.4,3.1,3.6,3.1,3.0,3.3,2.5,2.9,2.4,3.2,2.6,2.4,8.7,8.8,4.4,3.7,0
22,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,0.2,2.8,1.2,4.1,2.0,3.3,3.4,6.3,-2.2,1.6,1.4,0.6,1.3,0.7,1.2,1.2,1.9,2.3,2.3,2.1,6.5,12.2,3.8,3.3,0
23,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,39.6,22.2,23.2,25.0,11.2,10.8,10.0,16.4,1.6,1.9,9.1,6.5,-4.3,-0.6,-0.6,0.8,7.9,12.4,9.6,1.4,12.6,19.0,8.1,9.8,1
24,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,80.6,25.8,14.7,12.8,14.2,17.1,9.9,10.8,4.9,4.2,5.3,3.4,2.3,3.2,3.1,-1.8,3.4,5.0,6.1,1.5,8.8,15.6,8.4,7.5,1
25,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,6.0,0.7,0.5,2.4,5.5,3.6,2.4,2.8,2.5,4.0,4.5,3.3,3.4,4.0,3.8,5.0,6.1,4.9,1.9,2.6,3.0,2.6,1.6,0.9,2.3,2.1,2.7,4.0,2.7,-0.1,6.3,12.3,4.2,1.5,0
26,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,6.4,8.3,11.1,3.3,5.9,7.7,4.6,6.1,6.9,6.6,-3.1,5.6,4.7,-1.2,-1.1,-0.5,0.6,-1.1,4.7,2.7,3.1,1.2,10.7,14.4,7.3,3.7,0
